,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
300,245,Damian Jones,C,28,CLE,25,150,12.9,.624,.219,.344,6.8,17.3,12.1,10.3,1.0,6.0,19.6,13.2,0.1,0.3,0.4,.131,-3.3,2.9,-0.4,0.1
301,246,Derrick Jones Jr.,SF,26,DAL,48,1234,12.2,.602,.500,.253,4.9,11.1,7.9,5.5,1.5,2.6,10.2,15.3,1.1,1.0,2.1,.082,-0.9,-0.5,-1.4,0.2
302,247,Herbert Jones,SF,25,NOP,48,1372,13.6,.627,.446,.248,4.5,9.3,6.9,11.6,2.0,2.9,11.9,15.0,2.0,1.7,3.6,.128,-0.4,1.0,0.5,0.9
303,248,Tre Jones,PG,24,SAS,48,1252,14.6,.582,.296,.220,2.9,10.1,6.4,30.5,1.9,0.4,14.6,15.9,1.8,0.7,2.5,.095,-0.7,-0.5,-1.3,0.2
304,249,Tyus Jones,PG,27,WAS,52,1492,16.7,.582,.361,.062,1.1,9.5,5.2,31.4,1.8,0.9,7.7,17.2,2.8,0.6,3.3,.108,1.4,-0.5,0.9,1.1
305,250,DeAndre Jordan,C,35,DEN,28,323,16.2,.605,.000,.618,16.9,28.3,22.7,8.1,0.8,3.5,16.4,15.6,0.4,0.5,0.9,.137,-1.7,-0.4,-2.2,0.0
306,251,Cory Joseph,PG,32,GSW,26,296,6.1,.470,.656,.109,2.2,8.7,5.5,17.4,0.7,0.9,15.2,11.2,0.0,0.1,0.2,.029,-4.0,-0.7,-4.8,-0.2
307,252,Nikola Jović,PF,20,MIA,20,320,10.1,.516,.489,.217,5.9,23.4,14.5,15.9,0.9,2.1,15.9,16.5,-0.1,0.4,0.4,.055,-2.9,1.1,-1.8,0.0
308,253,Johnny Juzang,SG,22,UTA,2,6,-13.6,.000,1.000,.000,0.0,0.0,0.0,18.9,0.0,0.0,0.0,20.8,-0.1,0.0,-0.1,-0.417,-16.1,-9.3,-25.4,0.0
309,254,Luke Kennard,SG,27,MEM,25,609,13.1,.625,.754,.121,1.6,12.3,6.7,19.3,0.9,0.2,10.7,16.6,0.9,0.5,1.3,.104,0.7,-0.7,0.0,0.3
310,255,Walker Kessler,C,22,UTA,45,1044,18.7,.663,.063,.283,12.2,23.0,17.7,5.1,1.0,10.4,13.3,13.1,1.7,1.5,3.2,.146,-0.3,2.0,1.7,1.0
311,256,Braxton Key,SF,26,DEN,14,45,13.4,.463,.286,.357,5.1,19.6,12.4,22.2,2.2,0.0,5.8,16.6,0.0,0.1,0.1,.114,-1.6,0.7,-1.0,0.0
